title,company,url,source,posted,salary
"Location: Bahía Blanca, Argentina Remote: Yes Willing to relocate: Yes — open to Buenos Aires and willing to discuss other locations Technol",,https://news.ycombinator.com/item?id=48483858,HN Who is hiring,2026-06-10T22:49:14Z,
Full Stack Engineer (AI-Forward),Chief Rebel,https://weworkremotely.com/remote-jobs/chief-rebel-full-stack-engineer-ai-forward,We Work Remotely,"Mon, 18 May 2026 10:01:10 +0000",
Blockchain Engineer & Researcher,FairGambling,https://weworkremotely.com/remote-jobs/fairgambling-blockchain-engineer-researcher,We Work Remotely,"Mon, 18 May 2026 12:15:53 +0000",
"Anthropic Fellows Program, AI Safety",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5183044008,Greenhouse:anthropic,2026-05-20T18:36:22-04:00,
"Anthropic Fellows Program, AI Security",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5030244008,Greenhouse:anthropic,2026-05-20T18:36:32-04:00,
AI Engineer - FDE (Forward Deployed Engineer),Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8099751002,Greenhouse:databricks,2026-06-10T22:22:04-04:00,
"Backend Engineer, AI Security",Stripe,https://stripe.com/jobs/search?gh_jid=7826765,Greenhouse:stripe,2026-06-05T12:51:27-04:00,
CX Enablement Partner (AI),Asana,https://www.asana.com/jobs/apply/7976662?gh_jid=7976662,Greenhouse:asana,2026-06-09T17:43:50-04:00,
"Location: Dallas-Fort Worth, TX Remote: Yes Willing to relocate: Yes Technologies: Python, TypeScript&#x2F;JavaScript, Golang, Next.js, Node",,https://news.ycombinator.com/item?id=47975724,HN Who is hiring,2026-05-01T15:10:47Z,
Forward Deployed Engineer,Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8521090002,Greenhouse:databricks,2026-06-12T11:14:27-04:00,
Product Owner - Machine Learning,Mitek Systems,https://weworkremotely.com/remote-jobs/mitek-systems-product-owner-machine-learning,We Work Remotely,"Mon, 18 May 2026 20:31:00 +0000",
Software engineer,Sticker Mule,https://weworkremotely.com/remote-jobs/sticker-mule-software-engineer-3,We Work Remotely,"Thu, 14 May 2026 09:14:28 +0000",
GitHub: https:&#x2F;&#x2F;github.com&#x2F;Th1nhNg0,"Location: Ho Chi Minh City, Vietnam &#x2F; GMT+7 Remote: Yes Willing to relocate",https://news.ycombinator.com/item?id=48360223,HN Who is hiring,2026-06-01T17:49:10Z,
"Anthropic Fellows Program, ML Systems & Performance",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5183051008,Greenhouse:anthropic,2026-05-20T18:36:58-04:00,
Technical Solutions Engineer,Stripe,https://stripe.com/jobs/search?gh_jid=7377101,Greenhouse:stripe,2026-06-05T16:08:48-04:00,
