title,company,url,source,posted,salary
Staff Product Designer (UI-Led),Contentsquare,https://weworkremotely.com/remote-jobs/contentsquare-staff-product-designer-ui-led,We Work Remotely,"Thu, 09 Apr 2026 20:33:41 +0000",
Backend Engineer (TypeScript/Node.js)  DevOps Mindset (m/w/d),Glückliche Gäste,https://weworkremotely.com/remote-jobs/gluckliche-gaste-backend-engineer-typescript-node-js-devops-mindset-m-w-d,We Work Remotely,"Thu, 09 Apr 2026 20:33:23 +0000",
Senior AI consultant/GenAI Product Owner,Hiflylabs,https://weworkremotely.com/remote-jobs/hiflylabs-senior-ai-consultant-genai-product-owner,We Work Remotely,"Wed, 08 Apr 2026 20:33:43 +0000",
Engagement Manager (US - ET),Chooose,https://weworkremotely.com/remote-jobs/chooose-engagement-manager-us-et,We Work Remotely,"Wed, 08 Apr 2026 08:11:30 +0000",
Full Stack Developer - Backend Focus,31 Green Ltd,https://weworkremotely.com/remote-jobs/31-green-ltd-full-stack-developer-backend-focus,We Work Remotely,"Tue, 07 Apr 2026 20:34:46 +0000",
Full-stack Developer (SP),act digital,https://weworkremotely.com/remote-jobs/act-digital-full-stack-developer-sp,We Work Remotely,"Tue, 07 Apr 2026 20:33:41 +0000",
Full Stack Developer (m/w/d),Miragon,https://weworkremotely.com/remote-jobs/miragon-full-stack-developer-m-w-d,We Work Remotely,"Tue, 07 Apr 2026 20:31:03 +0000",
"I design, build, and operate measurable growth programs for B2B, B2C, GOV, NGO, and Startups. Multi-faceted marketing expert. I specialize i",,https://news.ycombinator.com/item?id=45214611,HN Who is hiring,2025-09-11T18:26:43Z,
"A curated list of awesome Model Context Protocol solutions for for building, finding, hosting, learning, securing, and using MCP offerings. ",,https://news.ycombinator.com/item?id=44880518,HN Who is hiring,2025-08-12T19:05:21Z,
Anthropic Fellows Program — ML Systems & Performance,Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5183051008,Greenhouse:anthropic,2026-05-06T18:21:03-04:00,
"Research Lead, Training Insights",Anthropic,https://job-boards.greenhouse.io/anthropic/jobs/5139654008,Greenhouse:anthropic,2026-04-03T12:07:49-04:00,
"Lead Technical Program Manager, Professional Services - Retail",Databricks,https://databricks.com/company/careers/open-positions/job?gh_jid=8538884002,Greenhouse:databricks,2026-05-07T12:51:46-04:00,
Senior Frontend Engineer - Product,Feedzai,https://weworkremotely.com/remote-jobs/feedzai-senior-frontend-engineer-product,We Work Remotely,"Thu, 09 Apr 2026 20:35:05 +0000",
"Senior Product Manager, Marketing Experiences, Growth",Instacart,https://weworkremotely.com/remote-jobs/instacart-senior-product-manager-marketing-experiences-growth,We Work Remotely,"Thu, 09 Apr 2026 20:34:51 +0000",
Senior Product Manager - Delivery Management,Dragos,https://weworkremotely.com/remote-jobs/dragos-senior-product-manager-delivery-management,We Work Remotely,"Thu, 09 Apr 2026 20:34:22 +0000",
Senior Full Stack Developer (Go/React),Mmdsmart Ltd,https://weworkremotely.com/remote-jobs/mmdsmart-ltd-senior-full-stack-developer-go-react,We Work Remotely,"Thu, 09 Apr 2026 20:31:20 +0000",
"Senior Sales Strategy Manager, New Product",Samsara,https://weworkremotely.com/remote-jobs/samsara-senior-sales-strategy-manager-new-product,We Work Remotely,"Wed, 08 Apr 2026 20:32:00 +0000",
Lead Backend Software Engineer (Product API),Philo,https://weworkremotely.com/remote-jobs/philo-lead-backend-software-engineer-product-api,We Work Remotely,"Wed, 08 Apr 2026 20:31:03 +0000",
Senior Backend Application Engineer - Product & Platform,Manifest Cyber Public,https://weworkremotely.com/remote-jobs/manifest-cyber-public-senior-backend-application-engineer-product-platform,We Work Remotely,"Tue, 07 Apr 2026 20:32:52 +0000",
